"ERI","CODE","CLAS","KIND","CNAME","SPEC","CCCCODE","BARCODE","SUPP","PREDAY","USERFLD1","USERFLD2","PRICE1","PRICE2","PRICE3","PRICE4","PRICE5","MADETYPE","CALCUTYPE","LOCALITY","IMPTRATE","GOODRATE","MARGIN","UNIT","INUNIT","INQTY","OUTUNIT","OUTQTY","LEN","WIDE","HIGHT","PUNIT","PACKUNIT","WETUNIT","NW","INNW","PACKNW","GW","INGW","PACKGW","CFT","INCFT","PACKCFT","CTNQTY","CTNINQTY","PACKQTY","FTQTY20","FTINQTY20","FTPQTY20","FTQTY40","FTINQTY40","FTPQTY40","FTQTY40H","FTINQTY40H","FTPQTY40H","FTQTY45","FTINQTY45","FTPQTY45","PACKDESC","PRODDESC","DESCRIP","ENAME","ESPEC","EPDESC","PICTURE","FCOST","CCOST","TDATE","SAFEQTY","MAXQTY","FQTY","CQTY","FBROWQTY","CBROWQTY","FLENDQTY","CLENDQTY","FPHSQTY","CPHSQTY","FORDQTY","CORDQTY","FSASMQTY","CSASMQTY","FSASKQTY","CSASKQTY","FAGTQTY","CAGTQTY","COSTSUBJ","SALESUBJ","STOCKSUBJ","RAWPSUBJ","HFINPSUBJ","FINPSUBJ","INSDATE","FLAG","GPFLAG","TTIME","UPDNFLAG","GUNSALEFLAG","PRHSSUBJ","FMASMQTY","CMASMQTY","FMASKQTY","CMASKQTY","EXPCOST","CURR","MINQTY","PRSFLAG","LPHSDATE","LSALDATE","LINDATE","LOUTDATE","LUPDDATE","LENDSUBJ","BROWSUBJ","EPDESC1","NTAXFLAG","MFLAG","NSDATE","PICTURES","PICTURED","PICTUREB","SCLAS","SCLASNAME","MCLAS","MCLASNAME","BCLAS","BCLASNAME","GPCQTY","APCODE","LASTUPD"
"00K0090GU28CW3H1","4715891013560","05","","Lets Sing(救傳)","100","","4715891013560","019","0","","","100","0","0","0","0","0","1","","0","0","0","片","片","1","片","1","1","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","57","57","2008/08/26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2008/08/26","0","0","","0","0","","0","0","0","0","0","NTD","1","0","2008/08/26","2009/04/27","2011/02/10","2009/04/27","2011/02/10","","","","0","0","","","","","","","","","","","0","","110303123450"
"00K0090GU28LG3HC","4715891340857","05","","Gospel Sing-a-long(救傳)","100","","4715891340857","019","0","","","100","0","0","0","0","0","1","","0","0","0","片","片","1","片","1","1","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","57","57","2008/08/26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2008/08/26","0","0","","0","0","","0","0","0","0","0","NTD","1","0","2008/08/26","2011/09/03","2008/08/26","2011/09/03","2011/09/03","","","","0","0","","","","","","","","","","","0","","110303123440"
"00K0090GU28OS3HX","A12BC057","05","","神奇大讚ＣＤ(救傳)","320","","4715891024368","019","0","","","320","0","0","0","0","0","1","","0","0","0","片","片","1","片","1","1","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","152.33333","152.33333","2008/08/26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2006/12/05","0","0","","0","0","","0","0","0","0","0","NTD","1","0","2008/08/26","2013/02/23","2008/08/26","2013/02/23","2013/02/23","","","","0","0","","","","","","","","","","","0","","110303123357"
"00K0090GU48KY4OU","9789868343337","06","","靈感無限--黃友玲文集(主流出版)","160","","9789868343337","013","0","","","160","0","0","0","0","0","1","","0","0","0","本","本","1","本","1","1","1","1","0","","0","1","1","1","1","1","1","1","1","1","1","1","1","1100","1100","1100","2100","2100","2100","2300","2300","2300","2900","2900","2900","","","","","","","","56.33333","56.33333","2008/08/28","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2008/08/28","1","0","","0","1","","0","0","0","0","0","NTD","1","0","2008/08/28","2012/09/01","2008/08/28","2012/09/01","2012/09/01","","","","0","0","","","","","","","","","","","0","","110303123357"
"00K0090GUF8BJ8NI","E011-1","19","","原聲帶ＣＤ","(100)絕版","","E011-1","0077","0","","","100","0","0","0","0","0","0","","0","0","0","片","片","1","片","1","1","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","88.88889","88.88889","2014/09/23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","7105.","","","","","2004/11/26","0","0","","0","0","","0","0","0","0","0","NTD","1","0","2008/08/27","2011/09/30","2008/08/27","2011/09/30","2011/09/30","","","","0","0","","","","","","","","","","","0","","140923173843"
"00K0090GUHDHKAJA","RA5017","18","","物彩Ａ４彩色影印紙(四季)/50入","50","","4713027021373","006","0","","","50","0","0","0","0","0","0","","0","0","0","本","本","1","本","1","1","1","1","0","","0","1","1","1","1","1","1","1","1","1","1","1","1","1100","1100","1100","2100","2100","2100","2300","2300","2300","2900","2900","2900","","","","","","","","30.9523","30.9523","2014/02/18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2007/12/06","1","0","","0","1","","0","0","0","0","0","NTD","1","0","","2008/12/29","","2008/12/29","2008/12/29","","","","0","0","","","","","","","","","","","0","","140218212509"
"00K0090GUIF77AZ8","17001","05","","釋經學MP3(柯恆雄傳道)","(500)","","C154A","","0","","","500","0","0","0","0","0","0","","0","0","0","盒","盒","1","盒","1","1","1","1","0","","0","1","1","1","1","1","1","1","1","1","1","1","1","1100","1100","1100","2100","2100","2100","2300","2300","2300","2900","2900","2900","","","","","","","","0","0","2014/01/23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","7102.","","","","","2008/09/03","1","0","","0","1","7302.","0","0","0","0","0","NTD","1","0","","2012/11/27","","2012/11/27","2012/11/27","","","","0","0","","","","","","","","","","","0","","140123170710"
"00K0090GUO5S4DAX","9799570334677","14","","賞識你的孩子(含VCD)(周弘)","300","","9799570334677","016","0","","","100","0","0","0","0","0","1","","0","0","0","本","本","1","本","1","1","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","59","59","2007/08/03","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2006/05/15","0","0","","0","0","","0","0","0","0","0","NTD","1","0","2008/09/17","2009/11/17","2014/03/31","2009/11/17","2014/03/31","","","","0","0","","","","","","","","","","","0","","110303123444"
"00K0090GUO6DDDCJ","NIV32JZTI","01","","NIV新國際版牛仔布拉鍊索引聖經","850","","9789812204110","017","0","","","850","0","0","0","0","0","1","","0","0","0","本","本","1","本","1","1","1","1","0","","0","1","1","1","1","1","1","1","1","1","1","1","1","1100","1100","1100","2100","2100","2100","2300","2300","2300","2900","2900","2900","","","","","","","","567","567","2014/07/06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2008/09/16","1","0","","0","1","","0","0","0","0","0","NTD","1","0","2014/07/06","2014/12/29","2014/07/06","2014/12/29","2014/12/29","","","","0","0","","","","","","","","","","","0","","140706165422"
"00K0090GUS1XZEHI","12052","19","","初級班學生本","30元/本","","12052","","0","","","30","0","0","0","0","0","0","","0","0","0","本","本","1","本","1","1","1","1","0","","0","1","1","1","1","1","1","1","1","1","1","1","1","1100","1100","1100","2100","2100","2100","2300","2300","2300","2900","2900","2900","","","","","","","","18.23804","18.23804","2014/05/05","0","0","30305","25545","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","7105.","","","","","2008/09/21","1","0","","0","1","5913.","0","0","0","0","0","NTD","1","0","2013/04/30","2014/12/25","2013/04/30","2014/12/25","2014/12/25","","","","0","0","","","","","","","","","","","0","","140505145648"
"00K0090GUU83IFYI","CU67ATIM","01","","中型皮面磁石拇指索引聖經","1250","","9789570472493","017","0","","","1250","0","0","0","0","0","1","","0","0","0","本","本","1","本","1","1","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","476.21489","476.21489","2007/02/06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2007/01/25","0","0","","0","0","","0","0","0","0","0","NTD","1","0","2008/10/29","2009/04/17","2009/12/31","2009/04/17","2009/12/31","","","","0","0","","","","","","","","","","","0","","110303123440"
"00K0090GV3BIY0QE","S040B","18","","月曆(格式:三個月一張)　　　　","60(工本費)","","S040B","046","0","","","60","0","0","0","0","0","0","","0","0","0","本","本","1","本","1","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","32.856","40","2016/03/01","0","0","273","279","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2004/01/01","0","0","","0","0","5913.","0","0","0","0","0","NTD","1","0","2014/10/24","","2014/10/24","","","","","","0","0","","","","","","","","","","","0","","160301002305"
"00K0090GV87NG2Z2","9789868272620","06","","榮光的回歸以西結書(平裝)蔡梅曦","320","","9789868272620","0095","0","","","320","0","0","0","0","0","1","","0","0","0","本","本","1","本","1","1","1","1","0","","0","1","1","1","1","1","1","1","1","1","1","1","1","1100","1100","1100","2100","2100","2100","2300","2300","2300","2900","2900","2900","","","","","","","","150.79834","150.79834","2008/10/16","0","0","291","268","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2008/10/06","1","0","","0","1","","0","0","0","0","0","NTD","1","0","2011/12/14","","2011/12/14","","","","","","0","0","","","","","","","","","","","0","","110303123450"
"00K0090GV96LT3U3","RA5018","18","","風雅A4彩色影印紙","55","","4713027023575","006","0","","","55","0","0","0","0","0","1","","0","0","0","包","包","1","包","1","1","1","1","0","","0","1","1","1","1","1","1","1","1","1","1","1","1","1100","1100","1100","2100","2100","2100","2300","2300","2300","2900","2900","2900","","","","","","","","28.83333","28.83333","2008/10/07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2008/10/07","1","0","","0","1","","0","0","0","0","0","NTD","1","0","2008/10/28","2009/11/04","2009/12/31","2009/11/04","2009/12/31","","","","0","0","","","","","","","","","","","0","","110303123453"
"00K0090GV96QP3UR","RA5019","18","","花草A4彩色影印紙","55","","4713027023582","006","0","","","55","0","0","0","0","0","1","","0","0","0","包","包","1","包","1","1","1","1","0","","0","1","1","1","1","1","1","1","1","1","1","1","1","1100","1100","1100","2100","2100","2100","2300","2300","2300","2900","2900","2900","","","","","","","","28.65278","28.65278","2008/10/07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2008/10/07","1","0","","0","1","","0","0","0","0","0","NTD","1","0","2008/10/07","2010/10/17","2009/12/31","2010/10/17","2010/10/17","","","","0","0","","","","","","","","","","","0","","110303123453"
"00K0090GV96T03VM","RA5501","18","","心願A4彩色影印紙","55","","4713027024367","006","0","","","55","0","0","0","0","0","1","","0","0","0","包","包","1","包","1","1","1","1","0","","0","1","1","1","1","1","1","1","1","1","1","1","1","1100","1100","1100","2100","2100","2100","2300","2300","2300","2900","2900","2900","","","","","","","","28.8482","28.8482","2008/10/07","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2008/10/07","1","0","","0","1","","0","0","0","0","0","NTD","1","0","2008/10/29","2010/07/20","2009/12/31","2010/07/20","2010/07/20","","","","0","0","","","","","","","","","","","0","","110303123453"
"00K0090GV96V83WG","AQ2001","18","","幫手便利貼本","20","","4713027401380","006","0","","","20","0","0","0","0","0","1","","0","0","0","包","包","1","包","1","1","1","1","0","","0","1","1","1","1","1","1","1","1","1","1","1","1","1100","1100","1100","2100","2100","2100","2300","2300","2300","2900","2900","2900","","","","","","","","12.41667","12.41667","2014/07/30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2008/10/07","1","0","","0","1","","0","0","0","0","0","NTD","1","0","2008/10/07","2008/10/30","2008/10/30","2008/10/30","2008/10/30","","","","0","0","","","","","","","","","","","0","","140730141448"
"00K0090GV96YD3WN","AQ2501","18","","微笑便利貼本","25","","4713027401373","006","0","","","25","0","0","0","0","0","1","","0","0","0","包","包","1","包","1","1","1","1","0","","0","1","1","1","1","1","1","1","1","1","1","1","1","1100","1100","1100","2100","2100","2100","2300","2300","2300","2900","2900","2900","","","","","","","","15.5","15.5","2014/07/30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2008/10/07","1","0","","0","1","","0","0","0","0","0","NTD","1","0","2008/10/07","2009/09/05","2009/05/15","2009/09/05","2009/09/05","","","","0","0","","","","","","","","","","","0","","140730141441"
"00K0090GV97JL3YS","BFK13","18","","經文萬用卡/13元(四季)","13","","4713027641137","006","0","","","13","0","0","0","0","0","1","","0","0","0","份","份","1","份","1","1","1","1","0","","0","1","1","1","1","1","1","1","1","1","1","1","1","1100","1100","1100","2100","2100","2100","2300","2300","2300","2900","2900","2900","","","","","","","","7.41667","7.41667","2008/10/07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2008/10/01","1","0","","0","1","","0","0","0","0","0","NTD","1","0","2008/10/07","2010/02/08","2009/05/15","2010/02/08","2010/02/08","","","","0","0","","","","","","","","","","","0","","110303123449"
