CODE,CLAS,CNAME,SPEC,BARCODE,PRICE,CQTY
PG365XL,09-1,臺灣傳教百年紀念衫12(5XL),399/團360,PG365XL,399,12
9789575878177,07-2,我該結婚嗎?(修訂版)(校園),290,9789575878177,290,1
CFT2247,07-6,哥林多前書(漢語.國際釋經),640(85折),9789625132471,640,0
C072,02-1,如何準備講道(謝順道著)　　　　,50,4710307200206,50,184
C088,02-1,羅馬書釋義(謝順道著),250,9789579853354,250,678
C164,02-1,創世紀的故事(上),50,9789867893024,50,12
CBT1090,01,中英NIV藍色拉鍊聖經(漢語),1900,9789625130903,1900,6
CBT1080,01,中英NIV紅色拉鍊聖經(停版),1900,9789625130804,1900,0
C137,02-1,聖經中的真教會(蔡恆忠 著),300,9789869655798,300,311
C083,02-1,新約讀經指引(林永基著)　　,240,9789573059004,240,108
C043,02-1,聖靈論增訂版(謝順道 著),500,9789869655774,500,387
C172,02-1,暮蟬低語(潘誠人著),250,9789867893086,250,317
C153,02-1,風箏與線(羅真聲一家),280,9789573059028,280,90
C155,02-1,銀網金蘋(邱義雄著),180,9789573059035,180,201
C154,02-1,實用釋經學(林永基著),280,9789573059042,280,168
C008,02-1,真道提要問答(郭子嚴著),250,9786269698615,250,232
C158,02-1,民數記中之基督(陳勝全著),150,9789573059059,150,626
C157,02-1,我親眼看見神增訂版(順道文集3),350,9786269698608,350,509
C140,02-1,雅各書釋義 (林永基 著),特價50,9789579853385,50,0
C160,02-1,剩餅餘魚(陸瑩華著),150,9789573059073,150,181
C159,02-1,耶利米書的信息(林賢明著),300,9786269905348,300,800
R023A,07-6,聖經中的失敗者(宣道)(華宣),370(第十版),9789622442672,370,0
CCL111002,08-5,漫畫福音－耶穌生平(證主),200,9789579189019,200,5
CCL111005,08-5,漫畫福音－創世記(證主),200,9789579189279,200,5
CCL111006,08-5,漫畫福音－摩西‧約書亞(證主),200,9789579189330,200,5
14010,03-2,聖經函授進階(信仰的探索1-12),120(工本費),14010,120,0
R034B,07-4,新約中希英逐字對照,1800,R034B,1800,0
R034C,07-4,新約希臘文中文辭典　　　　　　,1600,9789579346214,1600,1
C175,02-1,順道信箱釋疑(1)(順道文集4),250,9789867893116,250,427
CUNPIB63A,01,精裝硬面繪圖本聖經,1000,9789570472677,1000,7
B320,01,CUNPPS63AGN注音聖經(綠),900,9789866674839,900,75
C001,02-1,對觀福音書(林獻生著),150,9789867893628,150,264
C002,02-1,好好接住你(謝秀芬著),250,9786269698660,250,73
C004,02-1,雅歌釋義(蔡聖民著),100,9789867893581,100,351
C005,02-1,啟示錄的研究 (黃以利沙著),350,9786269905317,350,286
C011,02-1,綠手指的秘密-繪本,350,9789869770095,350,814
C012,02-1,馬可福音略解(楊約翰著),150,9789867893482,150,512
C014,02-1,腓利門*猶大書釋義(林從道著),30/特價10,4710030140305,10,22
C015,02-1,讀經與查經(1999年版),50,4710030151004,50,0
C016,02-1,靈糧分享-創世記(謝溪海著),150,9789867893871,150,694
C018,02-1,靈糧分享-路加福音(謝溪海著)　,100,9789869770057,100,703
C019,02-1,靈糧分享-出埃及記(謝溪海著)　,150,9789869770064,150,221
C023,02-1,福音小書/信主前該了解的四件事,150,9789869770026,150,240
C050,02-1,主耶穌的比喻(林獻生著),100/特價50,4710030501007,50,181
C056,02-1,撒母耳記講義(蔡聖民著)　　　　,10,4710030560509,10,12
C082,02-1,加拉太書釋義(蔡梅曦著)　　　　,50,4710030821808,50,-3
C084,02-1,禱告的壇(黃基甸著),250,9789869655767,250,198
C086,02-1,新約背景研究　(林大煜著)　　　,400,4710030864003,400,0
C156,02-1,何西阿書釋義(蔡梅曦著),240,9789579214278,240,220
C087,02-1,約拿書講義(邱義雄著),10,4710030870400,10,55
C091,02-1,哥林多前書原文解經(江南瑩著)　,50,4710030913503,50,5
C098,02-1,提摩太前書查經(江微美著)　　　,特價50,4710030980802,50,2
C099,02-1,提摩太後書查經(江微美著)　　　,特價50,4710030990801,50,100
C101,02-1,士師速寫(郭祝壽著),200,9789867893857,200,376
C106,02-1,靈糧分享-使徒行傳(謝溪海著),150,9789867893970,150,86
C109,02-1,但以理書釋義(楊約翰),100,9789867893642,100,1
C167,02-1,6折/哥林多前書釋義(蔡梅曦著),300,9789579214285,300,287
C133,02-1,腓利門書釋義(邱義雄著)　　　　,50,9789867893314,50,132
H002,05-1,青年詩歌(二）　　　　　　　　,50,4710080020503,50,0
H003,05-1,青年詩歌(三),50,4710080030502,50,0
S003,04-1,靈恩佈道會旗（橫式6m×0.6m）,850,S003,850,6
S004,04-1,靈恩佈道會旗/直式0.6m×1.5m,200/9折,S004,200,-7
S005,04-1,洗禮旗（直式30Cm×180Cm）,200(九折),S005,200,16
S006A,04-1,大不鏽鋼聖餐杯盤（含中板）,750(特價),S006A,750,79
S006C,04-1,壓克力聖餐杯　　　　　　　　　,5/只,S006C,5,11281
S007,04-1,不鏽鋼聖餐餅盤（小）　　　,140,S007,140,9
S010,04-1,禮拜日記(新版),150(工本費),4714140010800,150,70
S011B,04-2,勸慰詞/未信(含信封)　　　,特價10元,S011B,10,0
S020,04-2,訂婚禮儀節布　　　　　　　　　,300,S020,300,100
S021A,04-2,婚禮儀節綢布　　　　　　,400,S021A,400,47
S021B,04-2,婚禮來賓簽名綢,300,S021B,300,52
S022A,04-2,喪禮儀節絨布,400,S022A,400,29
S025,02-2,見證傳單　　　　　　　　　　　,(1.1)/張,S025,1,-7101
S033,04-1,安息日旗(黃底紅字60*200cm)　　,150,S033,150,36
S026,02-2,福音傳單　　　　　　　　　　　,(1.1)/張,S026,1,-2801
S041A,09-1,哈利路亞貼紙(原版),30,4711904110400,30,0
S041B,09-1,哈利路亞貼紙(內貼.一套三式)　,10,4711904120409,10,-110
S057B,04-1,大講台鐘,3900(特價3000),4713007921181,3000,73
S018A,04-2,喪禮二折式程序單(彩色),3/(印刷排版費另計),S018A,3,1279
C013,02-1,創世記查經指引(楊約翰 著),150,9789867893468,150,-2
C024,02-1,福音小書/生命中的美好禮物,150,9789869770033,150,414
C100,02-1,小先知書略解(新版)朱榮道 著,150,9789579214148,150,259
C170,02-1,6折/哥林多後書釋義(蔡梅曦著),200,9789579214292,200,356
C116,02-1,尼希米記釋義(郭祝壽著),200,9789579786300,200,342
S047A,04-1,高級原木匾額(南洋木)3.5*1.5尺,3600,S047A,3600,0
S047B,04-1,高級原木匾額(南洋木)3.0*1.4尺,3300,S047B,3300,0
C183,02-1,洞裏乾坤(郭祝壽 著),300,9789867893185,300,271
C144,02-1,靈糧分享-耶利米書(王明昌著),150,9789579786317,150,71
CCL111007,08-5,漫畫福音－大衛‧所羅門(證主),200,9789579189415,200,5
CCL111008,08-5,漫畫福音－耶穌的比喻(證主),200,9789579189507,200,5
C176,02-1,申命記導論 (陳勝全 著),150,9789867893123,150,594
C177,02-1,6折/申命記查經(上)(陳勝全著),200,9789867893130,200,0
C145,02-1,被擄歸回的信息(林賢明著),300,9786269698677,300,712
S016A,04-2,白包／賻儀袋,2元/個,S016A,2,5811
CUNP62ABU,01,新標點和合本膠皮聖經(藍),440,9789867530035,440,1
C147,02-1,五大教義釋疑(順道文集1),240,9789579786331,240,0
S030A,02-2,傳單加印地址版費(5000張以下),350,S030A,350,-1
318,09-4,匾額：基督是我家之主(信望愛),1200/1080,4713027031808,1200,-2
CCT1173,01,靈修版黑皮拉鍊聖經(漢語),1900,9789625131733,1900,5
C146,02-1,靈糧分享-羅馬書(謝溪海著),150,9789579786348,150,954
S031B,12,郵資(航空),,S031B,0,-99
S031C,12,郵資(海運),,S031C,0,450
CCT1175,01,靈修版藍皮拉鍊聖經(漢語),1900,9789625131757,1900,0
S074,04-1,背心(義工/福音/宣道 用),150,S074,150,81
JC63,01,日文口語中型聖經(聖經公會),1600,9784820212300,1600,4
C148,02-1,聖經釋疑(順道文集2),250,9789579786362,250,351
C152,02-1,約翰一二三書釋義(林永基著),250,9789579786393,250,669
S017A,04-2,婚禮用程序單(儀節表),3/(印刷排版費另計),S017A,3,1988
S018B,04-2,喪禮三折式程序單(彩色),4/(印刷排版費另計),S018B,4,2660
S024B,04-2,喪禮用黑白十字架貼紙,(1),S024B,1,82
712,12,文具禮品,,712,30,216
C139,02-1,監獄書信的信息(林賢明著),350,9789869770002,350,515
S076,04-1,名牌透明袋(小),5,4713091580059,5,184
S077,04-1,名牌透明袋(大),10,S077,10,348
CCL111009,08-5,漫畫福音－使徒的故事(證主),200,9789579189569,200,5
H004,05-1,青年詩歌(四),50,4710080040501,50,0
H027B,05-1,阿美語少年班詩歌本,150,4710202721509,150,38
713,12,手冊廣告,,713,0,-4
S011C,04-2,勸慰詞(附阿美語),特價10元,S011C,10,50
S032,04-1,真耶穌教會會旗/直式0.6m×1.5m,200,S032,200,-5
H027C,05-1,阿美語幼年班詩歌本,150,4710202731508,150,39
C136,02-1,6折/進入聖經的世界,400,9789867893345,400,0
C006,02-1,聖經要道(楊約翰 著),300,9786269905324,300,725
C138,02-1,靈糧分享-約翰福音(謝溪海 著),150,9789579853347,150,831
C143,02-1,約書亞記釋義(邱義雄著),220,9789579853392,220,57
S021,04-2,訂婚禮來賓簽名綢布,300,S021,300,131
S007A,04-1,不鏽鋼聖餐餅盤（大）,230,S007A,230,28
S011H,04-1,教會用信封袋,2/工本費,S011H,2,0
C162,02-1,靈糧分享-約書亞記(謝溪海著),150,9789869770019,150,338
S011D,04-2,勸慰詞/主內(含信封),特價,S011D,10,37
C165,02-1,以弗所書釋義(王明昌著),200,9789867893031,200,535
C089,02-1,靈糧分享-民數記(謝溪海著),100,9789867893697,100,43
C102,02-1,牧羊人的兩堂必修課-教牧與講道,200,9789869885003,200,92
H027D,05-1,阿美語喪禮詩歌本,50,H027D,50,93
T057H,05-1,牽我手伴我走詩歌本,(100)(宣道處),4710578001007,100,7
CBT1071,01,中英NIV精裝藍色輕便聖經(絕版）,890/800,9789625130712,890,0
H016,05-1,469首四部簡譜軟皮讚美詩,250,4710801602001,200,-1
C163,02-1,報喜信的人(蔡聖民著),250,9789867893017,250,0
9789570411201,07-7,天啟與救贖(蔡彥仁 著)(立緒),99,9789570411201,99,45
C060,02-1,以斯拉記彙譚(陳勝全 著),特價50,4710030601004,50,1
S047C,04-1,高級原木匾額(南洋木)2.5*1.3尺,2500,S047C,2500,0
C166,02-1,主禱文 (謝宏駿 著),120,9789867893048,120,275
C169,02-1,聖經人文史地(四版)(陳勝全著),600,9786269698691,600,485
S017D,04-2,訂婚禮用儀節表,3/(印刷排版費另計),S017D,3,0
S074B,04-1,洗禮袍(M　/L　/XL　/2XL　),550,S074B,550,60
S011G,04-1,奉獻袋教會用,2/工本費,S011G,2,4467
TTYV63,01,泰雅爾語聖經(硬皮),100,9789570472660,100,12
C168,02-1,以色列的戰車馬兵(郭祝壽),200-贈講道CD,9789867893062,200,428
CCT6329,01,編年合參精裝硬面聖經(漢語),750,9789625133294,750,0
14002,03-2,福音講章集 (賴英夫 編著),(100),4714140021004,100,0
T057H-1,05-1,美好之日歌本,(100)(宣道處),4710578011006,100,15
CBT1079,01,中英NIV黑色拉鍊聖經(漢語),1900,9789625130798,1900,5
C180,02-1,6折/安息日論(江南瑩),200,9789867893161,200,140
C173,02-1,6折/福音的起頭-馬可福音(王明昌,250,9789867893093,250,0
C178,02-1,6折/申命記查經(下)(陳勝全著),200,9789867893147,200,115
9789579189378,07-2,致嘉蘭書(證主),210,9789579189378,210,1
9789579189361,07-2,致偉立書(證主),210,9789579189361,210,1
12001,03-1,基督徒的信仰生活指南,特價99,9786269793624,99,598
C179,02-1,靈糧分享-加/歌/利未絕版,150,9789867893154,150,0
CBT1422,01,中英NIV紫色中型硬面聖經(漢語),790,9789625134222,790,6
S22TS01H,01,新譯和合對照聖經(環球),800,9789628919710,800,0
C181,02-1,6折/太初有道-約翰福音(謝忠光),250,9789867893178,250,373
CBT1506,01,中英皮面NIV索引聖經(漢語),1500,9789625135069,1500,1
TCPS-C63P,08-5,兒童寶貝聖經(注音版)(聖經公會),700,9789867530585,700,1
9789575878993,07-2,"承諾\,婚姻的保鮮膜(校園)",380,9789861984995,380,1
CCT3214,01,青年靈修版和合本聖經(漢語),1200,9789625132143,1200,3
0158,07-1,荒漠甘泉(大精-中主),180,9789575500672,180,1
C188,02-1,順道信箱釋疑(2)(順道文集5),250,9789867893260,250,1
0735,08-2,神的奇妙世界(貼紙書系列)(中主),150,9789575503277,150,0
0737,08-2,遇見舊約中的大人物(停版),150,9789575503253,150,-2
0738,08-2,遇見新約中的大人物(停版),150,9789575503260,150,-2
322CALSB05,01,分析排版研讀版-精裝聖經(華宣),1750,9789628840267,1750,1
9789575878207,07-2,新婚之愛(校園),300,9789575878207,300,1
12043,03-1,奇妙的創造(朗誦本),100(工本費),4712120431003,100,2
C006A,03-2,道路真理生命-聖經要道經文彙編,200(工本費),9789860664485,200,-29
C169A,06-2,聖經人文史地CD-12片 (陳勝全),(300)工本費,4713169103005,300,0
15012,03-4,路得記要訓(趙明洋著),80(工本費),4710000150129,80,26
14006,03-2,福音人員佈道訓練教材,40(工本費),4714140060409,40,7
14003,03-2,雲彩飛揚1-見證傳單集錦,100,4714140031003,100,2
14004,03-2,得人如得魚 - 宣道訓練教材,(100),4714140041002,100,-4
14007,03-2,真耶穌教會基本信仰概述,30,9786269793686,30,20
14008,03-2,醫院福音事工手冊,(20),4714140080209,20,32
12007,03-1,社青團契教材(一),100,12007,100,0
12008,03-1,社青團契教材(二),100,12008,100,0
12009,03-1,中堅團契教材(一),100,12009,100,0
12010,03-1,中堅團契教材(二),100,12010,100,0
12011,03-1,長青團契教材(一),100,12011,100,0
12012,03-1,長青團契教材(二),100,12012,100,0
12013,03-1,中堅/成人團契教材(三),100,12013,100,4
12014,03-1,信徒喪葬手冊(教牧處),100(八折),9789867893635,100,282
12002,03-1,信徒生活手冊(改用12001),50,,50,1
12015,03-1,婚姻講座,50(工本費),12015,50,0
12018,03-1,基督徒的倫理觀,50(工本費),12018,50,0
15013,03-4,撒母耳記上(邱義雄著),80(特價),4710150130804,80,68
15014,03-4,撒母耳記下(邱義雄著),70(特價),4710150140704,70,67
12026,03-1,少年班詩歌教員本,120(工本費),4712120261204,120,-6
12027,03-1,少年班詩歌學生本,50(工本費),4712120270503,50,1
12028,03-1,幼年班詩歌教員本,150(工本費),4712120281509,150,0
12029,03-1,幼年班詩歌學生本(注音版),60(工本費),4712120290600,60,13
12030,03-1,幼稚班詩歌教員本,100(工本費),4712120301009,100,-13
9789575878214,07-4,衣衫襤褸的福音(校園),260,9789575878214,260,1
9789575876906,07-1,絕版,260,9789575876906,260,0
15025,03-4,以西結書講義(林永基),100,4710000150259,100,2
15026,03-4,瑪拉基書-愛之深責之切(邱義雄),50,4710000150266,50,0
15027,03-4,新約聖經入門(陳勝全),100,15027,100,25
15035,03-4,哥林多前後書(林正雄),180,15035,180,43
15036,03-4,哥林多後書講義(林永基),90,4710000150365,90,0
15041,03-4,普通書信<來-猶>(林正雄),180,4710000150419,180,33
15048,03-4,帖撒羅尼迦前後書(謝順道),60,4710000150488,60,3
NT0004,07-5,新約背景與年代表(華神),330,9789579337267,330,0
OT0008,07-5,舊約背景與年代表(華神),280,9789579337809,280,0
CU57AZTI,01,輕便型拉鍊索引皮面聖經,1000,9789570472141,1000,14
12038,03-1,青少年生活讀經(3)-(6),(30),4712120380301,30,58
TH0021,07-7,基督教神學與教義圖表(華神),280,9789579337977,280,1
130001,03-3,The Gospel of Luke(路加),250,9789302640626,250,0
130002,03-3,Philemon&Hebrews(門/來),200,9789302640978,200,0
130005,03-3,"James/1\,2 Peter(雅/彼前後)",200,9789302640701,200,3
130006,03-3,The Gospel of Mark(馬可),250,9789302641197,250,0
130007,03-3,Thessalonians/Timothy/Titus,250,9789302641005,250,2
130008,03-3,Galatians to Colossians,250,9789302640893,250,1
130009,03-3,聖經要道(英文版),180,9789302640541,180,0
130010,03-3,Q&A On the Basic Beliefs,120/基本信仰Q&A,9789302640466,120,0
1300011,03-3,The Book of Act(使徒),250,9789302641272,250,0
1300012,03-3,"123John\,Jude&Revelation",250,9789302640114,250,3
9781932184167,07-7,絕版,210,9781932184167,210,0
9781932184136,07-1,保羅的禱告(麥種),365,9781932184136,365,1
CU97AZTI,01,特大字版拉鍊索引皮面聖經,2100,9789570472172,2100,1
301,09-4,大經句牌-基督是我家之主(申嘉),590/530,4713010005502,530,0
NT0011,07-6,啟示錄註釋(上)羅偉 著 (華神),900,9789570471793,900,1
NT0012,07-6,啟示錄註釋(中)羅偉 著 (華神),800,9789570471809,800,1
NT0013,07-6,啟示錄註釋(下)羅偉 著 (華神),800,9789570471816,800,1
9789867344069,08-5,10個跑贏兔子的方法(繪本)施以諾,299,9789867344069,299,0
C191,02-1,以西結書釋義 (林永基 著),600,9789867893291,600,0
C192,02-1,腓立比書釋義 (王明昌 著),150,9789867893307,150,149
THAIBB,01,泰文聖經(絕版),600,9786163390325,600,0
R026,07-2,閨房之樂(大平裝)(大光),99,9789574750313,99,0
CHT4340,08-1,漫畫聖經.注音版(附說故事ＣＤ),640(含CD)/套,9789868043404,640,0
H035,05-1,印尼文四部簡譜讚美詩,特價250,4710803502002,250,8
CUNPCS073A,01,新標點橫排串珠大型聖經(精裝),610,9789570472523,610,17
CU97AZ,01,特大字版皮面拉鍊聖經,1900,9789867530752,1900,2
C189,02-1,靈糧分享-雅各書(謝溪海 著),120,9789867893277,120,1
12035,03-1,讀經進度表(我的讀經好時光),(2)/工本費,12035,2,33449
S045,04-1,小跪墊(彩雲飛),100,S045,100,46
CM01,02-3,傳道書中的弔詭,140,9789869683616,140,0
CM03,02-3,鴿子與大魚(蔡梅曦 著)/道聲,150,9789570368703,150,2
CM04,02-3,雅各和約瑟的故事(江微美 著),150,9789867460424,150,1
C190,02-1,6折/申命記今釋(陳勝全著),500,9789867893284,500,97
T057H-2,05-1,我欲謳咾主你的名(台語詩歌本),(100)(宣道處),4710578021005,100,3
CU87AZ,01,大字版金邊皮面拉鏈聖經(絕版),1400,9789867530332,1400,0
B308C,01,現代西班牙文聖經(LA BIBLIA),350,B308C,350,4
14021,03-2,麥餅零碎1-福音傳單集錦,100,4714140211009,100,4
C193,02-1,靈糧集（２３）集,125,4710031931254,125,299
C194,02-1,靈糧集（２４）集,125,4710031941253,125,224
9789575879877,07-4,詩人的眼睛(校園),400,9789575879877,400,1
C022,02-1,默想集2-順道文集(謝順道著),300,9786269905362,300,297
14023,03-2,福音傳真DVD(1-33輯),(30)/每輯,4714140235050,30,360
S040A,04-1,月曆(格式:每個月一張)　　　　,80(工本費),S040A,80,3181
S057G,04-1,按鈴/叫人鈴,100,4714792023029,100,11
130012,03-3,聖靈論英文版(Holy Spirit),(160)工本費,4711300121604,160,0
12054,11,高中班學生本,40元/本,12054,40,0
12052-1,11,國中班教員本,50元,12052-1,50,0
12054-1,11,高中班教員本,50元,12054-1,50,0
TD0008,07-6,利未記(卷上)聖經註釋(天道),870,9789622081888,99,0
TD0009,07-6,利未記(卷下)聖經註釋(天道),720,9789622081949,99,0
TD0011,07-6,申命記(卷上)聖經註釋(天道),705,9789622085510,99,0
TD0012,07-6,申命記(卷下)聖經註釋(天道),810,9789622085220,99,0
TD0015,07-6,撒母耳記上(卷一)聖經註釋(天道),760,9789622084322,99,0
TD0016,07-6,撒母耳記上(卷二)聖經註釋(天道),675,9789622085084,99,0
TD0017,07-6,列王記(卷一)聖經註釋(天道),870,9789622085435,99,0
TD0021,07-6,歷代志上(卷一)聖經註釋(天道),760,9789622086456,99,0
TD0032,07-6,以賽亞書(卷三)聖經註釋(天道),865,9789622086388,99,0
TD0040,07-6,可以改絕版,920,9789622086708,99,0
TD0041,07-6,十二先知書(卷一)聖經註釋(天道),299,9789622080812,99,0
TD0042,07-6,十二先知書(卷二)聖經註釋(天道),299,9789622086159,99,0
TD0043,07-6,十二先知書(卷三)聖經註釋(天道),299,9789622081413,99,2
TD0054,07-6,腓立比書-聖經註釋(天道),760,9789622081567,99,0
TD0056,07-6,帖撒羅尼迦前書-聖經註釋(天道),770,9789622081772,99,0
TD0057,07-6,帖撒羅尼迦後書-聖經註釋(天道),675,9789622082007,99,0
TD0059,07-6,腓利門書-聖經註釋(天道),325,9789622082298,99,0
TD0063,07-6,彼得前書-聖經註釋(天道),760,9789622083011,99,1
TD0064,07-6,約翰123書(卷上)聖經註釋(天道),760,9789622086777,99,0
TD0065,07-6,約翰123書(卷下)聖經註釋(天道),650,9789622086852,99,0
TT0002,07-6,出埃及記聖經註釋(丁道爾),300,9789575876579,99,0
TT0005,07-6,申命記聖經註釋(丁道爾),325,9789575876555,99,0
TT0008,07-6,撒母耳記上下聖經註釋 (丁道爾),350,9789575877323,99,0
TT0022,07-6,以西結書聖經註釋(丁道爾),290,9789575877811,99,0
TT0023,07-6,但以理書聖經註釋(丁道爾),240,9789575877699,99,0
TT0024,07-6,何西阿書聖經註釋(丁道爾),240,9789575875763,99,0
TT0026,07-6,俄巴底亞書約拿書彌迦書(丁道爾),230,9789575876203,99,0
TT0027,07-6,那鴻書哈巴谷書西番雅書(丁道爾),140,9789575875596,99,0
TT0029,07-6,馬太福音聖經註釋(丁道爾),390,9789575874988,99,0
TT0030,07-6,馬可福音聖經註釋(丁道爾),310,9789575875398,99,0
TT0031,07-6,路加福音聖經註釋(丁道爾),350,9789575874971,99,0
TT0033,07-6,約翰書信聖經註釋(丁道爾),250,9789575876999,99,0
TT0038,07-6,加拉太書聖經註釋(丁道爾),240,9789575877484,99,0
TT0039,07-6,以弗所書聖經註釋(丁道爾),220,9789575877347,99,0
TT0040,07-6,腓立比書聖經註釋(丁道爾),190,9789575876753,99,0
TT0042,07-6,帖撒羅尼迦前後書註釋(丁道爾),160,9789575872878,99,0
TT0043,07-6,教牧書信 聖經註釋(丁道爾),260,9789575878252,99,0
TT0045,07-6,雅各書 聖經註釋 (丁道爾),190,9789575871789,99,0
TT0046,07-6,彼得前書聖經註釋(丁道爾),240,9789575874681,99,0
TT0047,07-6,彼得後書 猶大書聖經註釋(丁道爾,250,9789575876500,99,0
1300013,03-3,The Gospel of Matthew(馬太),250,9789302640039,250,1
CM07,02-3,淺談受聖靈說靈言(江雅各 著),200,9789868370128,200,0
E016-06,06-2,秘訣CD(上巴陵詩班),99,4712121606257,99,0
12052,11,國中班學生本,30元/本,12052,30,0
S040B,04-1,月曆(格式:三個月一張)　　　　,80(工本費),S040B,80,1322
9789868272620,07-6,榮光的回歸以西結書(平裝)蔡梅曦,320,9789868272620,199,106
9789868272637,07-6,榮光的回歸以西結書(精裝)蔡梅曦,450,9789868272637,199,18
C195,02-1,基督徒的投資與理財(郭子嚴等著),250,9789867893321,250,124
C196,02-1,靈糧分享-希伯來書(謝溪海 著),250,9789867893338,250,265
12053,03-1,聖工人員工作實務手冊,(50),4714140120530,50,0
C008A,03-2,唸的明白-真道提要問答經文彙編,200(工本費),9789860664454,200,11
CM08,02-3,神的同在(林桂永 著),200,9789869683623,200,68
C197,02-1,順道信箱釋疑(3)(順道文集6),250,9789867893369,250,62
